S No.,Tag,URL,Names,title,Year
39,PATTON OSWALT: I LOVE EVERYTHING (2020) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/20/patton-oswalt-i-love-everything-transcript/,PATTON OSWALT,PATTON OSWALT: I LOVE EVERYTHING ,2020.0
40,RUSSELL PETERS: DEPORTED (2020) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/10/russell-peters-deported-transcript/,RUSSELL PETERS,RUSSELL PETERS: DEPORTED ,2020.0
41,JIMMY O. YANG: GOOD DEAL (2020) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/10/jimmy-o-yang-good-deal-transcript/,JIMMY O. YANG,JIMMY O. YANG: GOOD DEAL ,2020.0
42,JO KOY: LIGHTS OUT (2012) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/09/jo-koy-lights-out-2012-full-transcript/,JO KOY,JO KOY: LIGHTS OUT ,2012.0
43,LEE MACK: GOING OUT LIVE (2010) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/08/lee-mack-going-out-live-transcript/,LEE MACK,LEE MACK: GOING OUT LIVE ,2010.0
44,LEE MACK: LIVE (2007) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/07/lee-mack-live-transcript/,LEE MACK,LEE MACK: LIVE ,2007.0
45,T.J. MILLER: NO REAL REASON (2011) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/06/t-j-miller-no-real-reason-transcript/,T.J. MILLER,T.J. MILLER: NO REAL REASON ,2011.0
46,Jerry Seinfeld: 23 Hours To Kill (2020) – Transcript,https://scrapsfromtheloft.com/2020/05/06/jerry-seinfeld-23-hours-to-kill-transcript/,Jerry Seinfeld,Jerry Seinfeld: 23 Hours To Kill ,2020.0
47,BILL BURR ON THE LATE SHOW WITH DAVID LETTERMAN (2010) – TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/05/bill-burr-late-show-with-david-letterman-2010/,BILL BURR ON THE LATE SHOW WITH DAVID LETTERMAN ,BILL BURR ON THE LATE SHOW WITH DAVID LETTERMAN ,2010.0
48,SINCERELY LOUIS CK (2020),https://scrapsfromtheloft.com/2020/05/02/sincerely-louis-ck-transcript/,SINCERELY LOUIS CK ,SINCERELY LOUIS CK ,2020.0
49,JIM NORTON: AMERICAN DEGENERATE (2013) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/02/jim-norton-american-degenerate-transcript/,JIM NORTON,JIM NORTON: AMERICAN DEGENERATE ,2013.0
50,Jim Norton: Monster Rain (2007) – Transcript,https://scrapsfromtheloft.com/2020/05/02/jim-norton-monster-rain-transcript/,Jim Norton,Jim Norton: Monster Rain ,2007.0
51,DANIEL SLOSS: X (2019) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/01/daniel-sloss-x-transcript/,DANIEL SLOSS,DANIEL SLOSS: X ,2019.0
52,MARIA BAMFORD: WEAKNESS IS THE BRAND (2020) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/05/01/maria-bamford-weakness-is-the-brand-transcript/,MARIA BAMFORD,MARIA BAMFORD: WEAKNESS IS THE BRAND ,2020.0
53,DAVE ALLEN: FIRST DAY AT CATHOLIC SCHOOL [TRANSCRIPT],https://scrapsfromtheloft.com/2020/04/30/dave-allen-first-day-at-school-transcript/,DAVE ALLEN,DAVE ALLEN: FIRST DAY AT CATHOLIC SCHOOL ,
54,CHRIS D’ELIA: WHITE MALE. BLACK COMIC. (2013) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/04/25/chris-d-elia-white-male-black-comic-transcript/,CHRIS D,CHRIS D’ELIA: WHITE MALE. BLACK COMIC. ,2013.0
55,Chris D’Elia: Man on Fire (2017) – Full Transcript,https://scrapsfromtheloft.com/2020/04/19/chris-d-elia-man-on-fire-transcript/,Chris D,Chris D’Elia: Man on Fire ,2017.0
56,George Carlin: The Indian Drill Sergeant – Transcript,https://scrapsfromtheloft.com/2020/04/13/george-carlin-indian-drill-sergeant-transcript/,George Carlin,George Carlin: The Indian Drill Sergeant ,
57,Tom Segura: Ball Hog (2020) – Transcript,https://scrapsfromtheloft.com/2020/03/25/tom-segura-ball-hog-transcript/,Tom Segura,Tom Segura: Ball Hog ,2020.0
58,Bert Kreischer: Hey Big Boy (2020) – Transcript,https://scrapsfromtheloft.com/2020/03/21/bert-kreischer-hey-big-boy-transcript/,Bert Kreischer,Bert Kreischer: Hey Big Boy ,2020.0
59,Bert Kreischer: Fighting A Bear [Transcript],https://scrapsfromtheloft.com/2020/03/21/bert-kreischer-fighting-a-bear-transcript/,Bert Kreischer,Bert Kreischer: Fighting A Bear ,
60,Marc Maron: End Times Fun (2020) – Full Transcript,https://scrapsfromtheloft.com/2020/03/12/marc-maron-end-times-fun-transcript/,Marc Maron,Marc Maron: End Times Fun ,2020.0
61,PETE DAVIDSON: SMD (2016) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/03/04/pete-davidson-smd-transcript/,PETE DAVIDSON,PETE DAVIDSON: SMD ,2016.0
62,PETE DAVIDSON: ALIVE FROM NEW YORK (2020) – FULL TRANSCRIPT,https://scrapsfromtheloft.com/2020/03/01/pete-davidson-alive-from-new-york-transcript/,PETE DAVIDSON,PETE DAVIDSON: ALIVE FROM NEW YORK ,2020.0
63,Amanda Seales: I Be Knowin’ (2019) – Transcript,https://scrapsfromtheloft.com/2020/02/27/amanda-seales-i-be-knowin-transcript/,Amanda Seales,Amanda Seales: I Be Knowin’ ,2019.0
64,Stewart Lee: Carpet Remnant World (2012) – Full Transcript,https://scrapsfromtheloft.com/2020/02/12/stewart-lee-carpet-remnant-world-transcript/,Stewart Lee,Stewart Lee: Carpet Remnant World ,2012.0
